category,headline,url
ENVIRONMENT,Animal charities to open European circus elephant sanctuary,http://www.foxnews.com/world/2018/06/11/animal-charities-to-open-european-circus-elephant-sanctuary.html
ENVIRONMENT,AP PHOTOS: Long-dead critters animate Israel's nature museum,http://www.foxnews.com/world/2018/06/11/ap-photos-long-dead-critters-animate-israels-nature-museum.html
ENVIRONMENT,Recent developments surrounding the South China Sea,http://www.foxnews.com/world/2018/06/11/recent-developments-surrounding-south-china-sea.html
ENVIRONMENT,Hurricane Bud heading north off Mexico's Pacific coast,http://www.foxnews.com/world/2018/06/11/hurricane-bud-heading-north-off-mexicos-pacific-coast.html
ENVIRONMENT,Tropical Storm Bud grows off Mexico's Pacific coast,http://www.foxnews.com/world/2018/06/10/tropical-storm-bud-grows-off-mexicos-pacific-coast.html
ENVIRONMENT,Guatemala's Volcano of Fire emits another hot sediment flow,http://www.foxnews.com/world/2018/06/09/guatemalas-volcano-fire-emits-another-hot-sediment-flow.html
ENVIRONMENT,The Latest: New evacuations at Guatemala's Volcano of Fire,http://www.foxnews.com/world/2018/06/08/latest-new-evacuations-at-guatemalas-volcano-fire.html
ENVIRONMENT,Cleaning the seabed: Divers halt the carnage of 'ghost' nets,http://www.foxnews.com/world/2018/06/08/cleaning-seabed-divers-halt-carnage-ghost-nets.html
ENVIRONMENT,Guatemala town destroyed by volcano thought it was safe,http://www.foxnews.com/world/2018/06/08/guatemala-town-destroyed-by-volcano-thought-it-was-safe.html
ENVIRONMENT,"At Guatemala volcano, families left on own to keep searching",http://www.foxnews.com/world/2018/06/08/at-guatemala-volcano-families-left-on-own-to-keep-searching.html
ENVIRONMENT,Before-and-after images show Guatemala volcano's devastation,http://www.foxnews.com/world/2018/06/07/before-and-after-images-show-guatemala-volcanos-devastation.html
ENVIRONMENT,The Latest: Guatemala suspends volcano rescue effort,http://www.foxnews.com/world/2018/06/07/latest-guatemala-suspends-volcano-rescue-effort.html
ENVIRONMENT,Rare lynx found in Spain after being released in Portugal,http://www.foxnews.com/world/2018/06/07/rare-lynx-found-in-spain-after-being-released-in-portugal.html
ENVIRONMENT,"Scientists, animal activists: Don't cull Romanian brown bear",http://www.foxnews.com/world/2018/06/07/scientists-animal-activists-dont-cull-romanian-brown-bear.html
ENVIRONMENT,Wreckage seen 2 days after plane carrying 10 lost in Kenya,http://www.foxnews.com/world/2018/06/07/wreckage-seen-2-days-after-plane-carrying-10-lost-in-kenya.html
ENVIRONMENT,"At Guatemala volcano, weather and danger hinder search",http://www.foxnews.com/world/2018/06/07/at-guatemala-volcano-weather-and-danger-hinder-search.html
ENVIRONMENT,The Latest: Guatemala ponders renewing volcano victim hunt,http://www.foxnews.com/world/2018/06/06/latest-guatemala-ponders-renewing-volcano-victim-hunt.html
